home_team,away_team,home_goals,away_goals,home_xG,away_xG
Tottenham,Newcastle Utd,1,2,0.9,2.5
Aston Villa,Leicester City,2,1,1.4,0.4
Bournemouth,Everton,1,0,1.8,0.7
Crystal Palace,Chelsea,1,1,1.1,1.2
Southampton,Brentford,0,5,0.3,4.4
Manchester City,West Ham,4,1,1.9,1.4
Brighton,Arsenal,1,1,1.5,0.9
Fulham,Ipswich Town,2,2,2.2,1.5
Liverpool,Manchester Utd,2,2,2.7,1.0
Wolves,Nott'ham Forest,0,3,1.5,2.1
West Ham,Fulham,3,2,1.0,1.7
Chelsea,Bournemouth,2,2,2.5,1.2
Brentford,Manchester City,2,2,2.5,2.2
Nott'ham Forest,Liverpool,1,1,0.3,2.0
Leicester City,Crystal Palace,0,2,1.7,1.8
Everton,Aston Villa,0,1,1.1,1.2
Newcastle Utd,Wolves,3,0,2.1,1.6
Arsenal,Tottenham,2,1,1.4,0.8
Ipswich Town,Brighton,0,2,0.3,1.0
Manchester Utd,Southampton,3,1,3.4,1.4
Newcastle Utd,Bournemouth,1,4,0.8,2.0
Leicester City,Fulham,0,2,0.6,2.0
West Ham,Crystal Palace,0,2,0.3,1.3
Brentford,Liverpool,0,2,0.7,3.4
Arsenal,Aston Villa,2,2,1.3,1.0
Everton,Tottenham,3,2,1.8,1.1
Manchester Utd,Brighton,1,3,1.5,1.9
Nott'ham Forest,Southampton,3,2,1.8,0.9
Ipswich Town,Manchester City,0,6,0.5,3.0
Chelsea,Wolves,3,1,3.1,0.8
Southampton,Newcastle Utd,1,3,0.8,2.9
Brighton,Everton,0,1,0.7,0.8
Liverpool,Ipswich Town,4,1,2.0,0.5
Bournemouth,Nott'ham Forest,5,0,1.7,1.0
Wolves,Arsenal,0,1,0.7,1.0
Manchester City,Chelsea,3,1,2.2,1.8
Crystal Palace,Brentford,1,2,1.1,1.3
Tottenham,Leicester City,1,2,1.0,1.6
Aston Villa,West Ham,1,1,0.9,1.3
Fulham,Manchester Utd,0,1,0.7,0.3
Nott'ham Forest,Brighton,7,0,3.3,0.9
Everton,Leicester City,4,0,2.5,0.3
Newcastle Utd,Fulham,1,2,0.8,1.6
Bournemouth,Liverpool,0,2,1.6,2.5
Ipswich Town,Southampton,1,2,1.8,0.9
Wolves,Aston Villa,2,0,1.6,0.4
Manchester Utd,Crystal Palace,0,2,1.1,2.6
Brentford,Tottenham,0,2,2.1,0.8
Arsenal,Manchester City,5,1,1.0,0.8
Chelsea,West Ham,2,1,1.6,1.2
Everton,Liverpool,2,2,1.0,0.6
Brighton,Chelsea,3,0,1.4,0.5
Leicester City,Arsenal,0,2,0.2,1.4
Fulham,Nott'ham Forest,2,1,2.1,0.4
Manchester City,Newcastle Utd,4,0,1.9,0.5
Southampton,Bournemouth,1,3,0.8,1.2
Aston Villa,Ipswich Town,1,1,2.4,0.4
West Ham,Brentford,0,1,0.8,1.6
Crystal Palace,Everton,1,2,1.6,0.9
Liverpool,Wolves,2,1,1.7,1.5
Tottenham,Manchester Utd,1,0,2.2,1.5
Aston Villa,Liverpool,2,2,0.6,2.5
Leicester City,Brentford,0,4,0.5,1.5
Everton,Manchester Utd,2,2,1.6,0.4
Fulham,Crystal Palace,0,2,0.2,1.3
Bournemouth,Wolves,0,1,0.9,2.0
Ipswich Town,Tottenham,1,4,1.1,1.7
Arsenal,West Ham,0,1,1.2,1.1
Southampton,Brighton,0,4,0.1,3.9
Aston Villa,Chelsea,2,1,2.3,2.3
Newcastle Utd,Nott'ham Forest,4,3,2.9,1.7
Manchester City,Liverpool,0,2,0.6,0.7
Brighton,Bournemouth,2,1,2.4,1.5
Crystal Palace,Aston Villa,4,1,4.3,0.4
Wolves,Fulham,1,2,1.3,1.7
Chelsea,Southampton,4,0,2.4,0.7
Tottenham,Manchester City,0,1,1.3,2.1
Nott'ham Forest,Arsenal,0,0,0.4,1.0
Manchester Utd,Ipswich Town,3,2,0.7,1.4
Brentford,Everton,1,1,1.4,1.5
Liverpool,Newcastle Utd,2,0,1.7,0.2
West Ham,Leicester City,2,0,1.3,0.4
Nott'ham Forest,Manchester City,1,0,0.7,0.9
Liverpool,Southampton,3,1,3.9,0.4
Brighton,Fulham,2,1,1.5,0.9
Crystal Palace,Ipswich Town,1,0,3.2,1.5
Brentford,Aston Villa,0,1,0.8,1.3
Wolves,Everton,1,1,0.8,1.2
Chelsea,Leicester City,1,0,1.7,0.1
Tottenham,Bournemouth,2,2,1.5,2.2
Manchester Utd,Arsenal,1,1,1.5,1.6
West Ham,Newcastle Utd,0,1,0.7,1.4
Everton,West Ham,1,1,1.0,0.8
Southampton,Wolves,1,2,1.3,0.4
Ipswich Town,Nott'ham Forest,2,4,0.4,1.5
Manchester City,Brighton,2,2,1.7,2.0
Bournemouth,Brentford,1,2,1.6,0.8
Arsenal,Chelsea,1,0,0.7,0.4
Fulham,Tottenham,2,0,1.0,0.9
Leicester City,Manchester Utd,0,3,1.0,0.9
Arsenal,Fulham,2,1,2.2,1.0
Wolves,West Ham,1,0,1.2,1.3
Nott'ham Forest,Manchester Utd,1,0,0.5,1.6
Newcastle Utd,Brentford,2,1,1.3,1.5
Manchester City,Leicester City,2,0,2.2,0.1
Southampton,Crystal Palace,1,1,0.7,0.7
Bournemouth,Ipswich Town,1,2,1.8,1.2
Brighton,Aston Villa,0,3,0.9,1.2
Liverpool,Everton,1,0,1.5,0.9
Chelsea,Tottenham,1,0,1.0,0.9
Everton,Arsenal,1,1,1.1,1.8
Crystal Palace,Brighton,2,1,0.6,1.0
Ipswich Town,Wolves,1,2,0.8,2.6
West Ham,Bournemouth,2,2,0.7,2.1
Aston Villa,Nott'ham Forest,2,1,3.0,1.5
Fulham,Liverpool,3,2,0.7,1.5
Brentford,Chelsea,0,0,1.1,1.2
Tottenham,Southampton,3,1,2.1,1.0
Manchester Utd,Manchester City,0,0,0.9,0.5
Leicester City,Newcastle Utd,0,3,0.5,3.2
Manchester City,Crystal Palace,5,2,3.7,1.8
Brighton,Leicester City,2,2,3.8,1.5
Southampton,Aston Villa,0,3,0.3,3.0
Nott'ham Forest,Everton,0,1,0.5,1.4
Arsenal,Brentford,1,1,1.0,0.2
Liverpool,West Ham,2,1,1.8,1.4
Chelsea,Ipswich Town,2,2,2.2,1.1
Wolves,Tottenham,4,2,2.4,2.0
Newcastle Utd,Manchester Utd,4,1,2.2,0.7
Bournemouth,Fulham,1,0,1.4,1.0
Newcastle Utd,Crystal Palace,5,0,1.5,2.0
Everton,Manchester City,0,2,0.9,2.0
West Ham,Southampton,1,1,0.9,0.6
Crystal Palace,Bournemouth,0,0,0.4,0.7
Brentford,Brighton,4,2,2.1,1.4
Aston Villa,Newcastle Utd,4,1,2.2,1.0
Fulham,Chelsea,1,2,0.3,0.9
Ipswich Town,Arsenal,0,4,0.2,2.4
Manchester Utd,Wolves,0,1,1.3,0.2
Leicester City,Liverpool,0,1,0.3,2.5
Tottenham,Nott'ham Forest,1,2,2.1,0.5
Manchester City,Aston Villa,2,1,1.3,1.8
Arsenal,Crystal Palace,2,2,1.2,1.7
Chelsea,Everton,1,0,0.8,0.4
Brighton,West Ham,3,2,1.3,1.3
Wolves,Leicester City,3,0,2.0,1.1
Southampton,Fulham,1,2,0.6,2.4
Newcastle Utd,Ipswich Town,3,0,2.4,0.1
Bournemouth,Manchester Utd,1,1,0.5,2.3
Liverpool,Tottenham,5,1,2.2,0.5
Nott'ham Forest,Brentford,0,2,0.9,1.3
Manchester City,Wolves,1,0,0.7,0.4
Aston Villa,Fulham,1,0,1.0,0.9
Leicester City,Southampton,2,0,1.4,0.5
Everton,Ipswich Town,2,2,0.6,0.8
Arsenal,Bournemouth,1,2,1.4,0.9
Brighton,Newcastle Utd,1,1,0.7,1.7
West Ham,Tottenham,1,1,0.8,0.8
Brentford,Manchester Utd,4,3,2.8,1.5
Chelsea,Liverpool,3,1,3.1,1.0
Crystal Palace,Nott'ham Forest,1,1,2.3,0.7
Ipswich Town,Brentford,0,1,0.9,1.4
Fulham,Everton,1,3,0.8,1.1
Wolves,Brighton,0,2,0.9,1.6
Southampton,Manchester City,0,0,0.1,1.7
Bournemouth,Aston Villa,0,1,0.8,1.0
Newcastle Utd,Chelsea,2,0,1.6,0.7
Nott'ham Forest,Leicester City,2,2,1.3,1.1
Tottenham,Crystal Palace,0,2,0.7,3.4
Manchester Utd,West Ham,0,2,2.1,1.7
Liverpool,Arsenal,2,2,2.4,2.6
Aston Villa,Tottenham,2,0,1.4,0.5
Chelsea,Manchester Utd,1,0,0.8,0.3
Everton,Southampton,2,0,2.7,1.2
West Ham,Nott'ham Forest,1,2,1.1,1.9
Brentford,Fulham,2,3,2.5,1.0
Leicester City,Ipswich Town,2,0,0.8,1.4
Arsenal,Newcastle Utd,1,0,0.6,1.5
Brighton,Liverpool,3,2,2.2,2.2
Manchester City,Bournemouth,3,1,1.5,1.1
Crystal Palace,Wolves,4,2,1.7,1.4
Manchester Utd,Aston Villa,2,0,2.9,0.4
Ipswich Town,West Ham,1,3,0.7,1.1
Wolves,Brentford,1,1,1.0,1.4
Southampton,Arsenal,1,2,0.6,2.3
Liverpool,Crystal Palace,1,1,2.1,1.8
Nott'ham Forest,Chelsea,0,1,1.2,1.1
Fulham,Manchester City,0,2,1.3,3.0
Newcastle Utd,Everton,0,1,1.2,1.2
Bournemouth,Leicester City,2,0,1.6,0.3
Tottenham,Brighton,1,4,2.0,2.2
