home_team,away_team,home_goals,away_goals,home_xG,away_xG,home_xGA,away_xGA
Crystal Palace,Manchester City,2,2,1.3,1.4,1.4,1.3
Brentford,Newcastle Utd,4,2,1.2,1.5,1.5,1.2
Manchester Utd,Nott'ham Forest,2,3,1.6,0.8,0.8,1.6
Leicester City,Brighton,2,2,1.3,1.5,1.5,1.3
Ipswich Town,Bournemouth,1,2,1.3,3.2,3.2,1.3
Fulham,Arsenal,1,1,0.2,1.8,1.8,0.2
Tottenham,Chelsea,3,4,2.8,2.8,2.8,2.8
West Ham,Wolves,2,1,1.0,1.4,1.4,1.0
Liverpool,Fulham,2,2,2.1,1.2,1.2,2.1
Wolves,Ipswich Town,1,2,1.3,1.1,1.1,1.3
Newcastle Utd,Leicester City,4,0,3.8,0.2,0.2,3.8
Arsenal,Everton,0,0,1.2,0.1,0.1,1.2
Nott'ham Forest,Aston Villa,2,1,1.7,0.4,0.4,1.7
Brighton,Crystal Palace,1,3,1.0,2.2,2.2,1.0
Manchester City,Manchester Utd,1,2,0.9,2.1,2.1,0.9
Southampton,Tottenham,0,5,0.8,2.3,2.3,0.8
Chelsea,Brentford,2,1,2.2,1.6,1.6,2.2
Bournemouth,West Ham,1,1,1.9,2.1,2.1,1.9
Aston Villa,Manchester City,2,1,1.6,1.0,1.0,1.6
Ipswich Town,Newcastle Utd,0,4,0.7,2.3,2.3,0.7
Brentford,Nott'ham Forest,0,2,0.7,0.9,0.9,0.7
West Ham,Brighton,1,1,1.2,0.9,0.9,1.2
Crystal Palace,Arsenal,1,5,1.6,2.5,2.5,1.6
Manchester Utd,Bournemouth,0,3,2.2,1.6,1.6,2.2
Leicester City,Wolves,0,3,0.8,1.1,1.1,0.8
Everton,Chelsea,0,0,1.0,1.2,1.2,1.0
Fulham,Southampton,0,0,0.9,0.3,0.3,0.9
Tottenham,Liverpool,3,6,1.3,5.6,5.6,1.3
Manchester City,Everton,1,1,2.1,0.7,0.7,2.1
Southampton,West Ham,0,1,1.4,1.7,1.7,1.4
Newcastle Utd,Aston Villa,3,0,2.7,0.3,0.3,2.7
Nott'ham Forest,Tottenham,1,0,1.1,0.9,0.9,1.1
Bournemouth,Crystal Palace,0,0,1.4,0.4,0.4,1.4
Chelsea,Fulham,1,2,1.1,1.8,1.8,1.1
Wolves,Manchester Utd,2,0,0.9,0.4,0.4,0.9
Liverpool,Leicester City,3,1,2.0,0.3,0.3,2.0
Brighton,Brentford,0,0,1.3,1.1,1.1,1.3
Arsenal,Ipswich Town,1,0,1.8,0.2,0.2,1.8
Leicester City,Manchester City,0,2,1.3,1.3,1.3,1.3
Everton,Nott'ham Forest,0,2,0.9,1.5,1.5,0.9
Tottenham,Wolves,2,2,2.2,0.7,0.7,2.2
Fulham,Bournemouth,2,2,1.1,2.0,2.0,1.1
Crystal Palace,Southampton,2,1,2.0,0.9,0.9,2.0
West Ham,Liverpool,0,5,0.4,3.1,3.1,0.4
Aston Villa,Brighton,2,2,1.8,1.1,1.1,1.8
Ipswich Town,Chelsea,2,0,1.6,2.0,2.0,1.6
Manchester Utd,Newcastle Utd,0,2,0.8,1.9,1.9,0.8
Brentford,Arsenal,1,3,0.3,1.9,1.9,0.3
Tottenham,Newcastle Utd,1,2,0.9,2.5,2.5,0.9
Aston Villa,Leicester City,2,1,1.4,0.4,0.4,1.4
Bournemouth,Everton,1,0,1.8,0.7,0.7,1.8
Crystal Palace,Chelsea,1,1,1.1,1.2,1.2,1.1
Southampton,Brentford,0,5,0.3,4.4,4.4,0.3
Manchester City,West Ham,4,1,1.9,1.4,1.4,1.9
Brighton,Arsenal,1,1,1.5,0.9,0.9,1.5
Fulham,Ipswich Town,2,2,2.2,1.5,1.5,2.2
